State,Hotel Name,City,Check-in Date,Check-out Date,Total Price,Currency
Alaska,Courtyard by Marriott Anchorage Airport,Anchorage,2024-12-25,2024-12-27,551.04,USD
Arizona,Hyatt Place Tempe - Phoenix Airport,Phoenix,2024-12-25,2024-12-27,60.91,USD
Arizona,TownePlace Suites by Marriott Tucson Airport,Tucson,2024-12-25,2024-12-27,238.82,USD
Arizona,Courtyard by Marriott Tucson Airport,Tucson,2024-12-25,2024-12-27,244.20,USD
Arizona,HOLIDAY INN HTL STES AIRPORT N,Phoenix,2024-12-25,2024-12-27,343.33,USD
Arizona,Marriott Phoenix Airport,Phoenix,2024-12-25,2024-12-27,425.51,USD
California,Hyatt Regency San Francisco Airport,San Francisco,2024-12-25,2024-12-27,67.54,USD
California,Aloft San Francisco Airport,San Francisco,2024-12-25,2024-12-27,255.98,USD
California,HILTON HOTELS LONDON KENSINGTON,Los Angeles,2024-12-25,2024-12-27,264.22,USD
California,Sheraton Gateway Los Angeles Hotel,Los Angeles,2024-12-25,2024-12-27,267.70,USD
California,TownePlace Suites by Marriott Los Angeles LAX Manhattan Beach,Los Angeles,2024-12-25,2024-12-27,331.22,USD
Colorado,SpringHill Suites by Marriott Denver Airport,Denver,2024-12-25,2024-12-27,299.80,USD
Delaware,Fairfield Inn and Suites by Marriott Wilmington New Castle,Wilmington,2024-12-25,2024-12-27,264.18,USD
Delaware,TownePlace Suites by Marriott Wilmington Newark Christiana,Wilmington,2024-12-25,2024-12-27,297.48,USD
Connecticut,Fairfield Inn and Suites by Marriott Hartford Airport,Hartford,2024-12-25,2024-12-27,223.10,USD
Connecticut,SpringHill Suites by Marriott Hartford Airport Windsor Locks,Hartford,2024-12-25,2024-12-27,259.90,USD
Connecticut,HOLIDAY INN EXP BRADLEY ARPT,Hartford,2024-12-25,2024-12-27,325.56,USD
Connecticut,Sheraton Hartford Hotel at Bradley Airport,Hartford,2024-12-25,2024-12-27,515.20,USD
Connecticut,DBLTREE HARTFORD BRADLEY AIRPT,Hartford,2024-12-25,2024-12-27,2208.00,USD
Florida,Sofitel Miami,Miami,2024-12-25,2024-12-27,144.08,USD
Florida,Fairfield Inn by Marriott Orlando Airport,Orlando,2024-12-25,2024-12-27,294.52,USD
Florida,Holiday Inn Westshore Airport Area,Tampa,2024-12-25,2024-12-27,313.74,USD
Florida,SpringHill Suites by Marriott Orlando Airport,Orlando,2024-12-25,2024-12-27,326.70,USD
Florida,HOLIDAY INN - INTL AIRPORT N,Miami,2024-12-25,2024-12-27,343.52,USD
Arkansas,HOLIDAY INN EXPRESS AIRPORT,Little Rock,2024-12-25,2024-12-27,235.75,USD
Arkansas,Courtyard by Marriott Little Rock Downtown,Little Rock,2024-12-25,2024-12-27,251.50,USD
Arkansas,HOLIDAY INN AIRPORT -CONF CTR,Little Rock,2024-12-25,2024-12-27,252.20,USD
Arkansas,HOLIDAY INN PRES CONF CTR,Little Rock,2024-12-25,2024-12-27,278.76,USD
Arkansas,Little Rock Marriott,Little Rock,2024-12-25,2024-12-27,445.58,USD
Georgia,Fairfield Inn and Suites by Marriott Atlanta Airport North,Atlanta,2024-12-25,2024-12-27,225.30,USD
Georgia,Hyatt Place Atlanta Arpt North,Atlanta,2024-12-25,2024-12-27,227.39,USD
Georgia,Fairfield Inn and Suites by Marriott Atlanta Airport South-Sullivan Road,Atlanta,2024-12-25,2024-12-27,253.60,USD
Georgia,Courtyard by Marriott Atlanta Airport South-Sullivan Road,Atlanta,2024-12-25,2024-12-27,286.08,USD
Georgia,Fairfield Inn and Suites by Marriott Savannah Airport,Savannah,2024-12-25,2024-12-27,307.99,USD
Idaho,SpringHill Suites by Marriott Boise ParkCenter,Boise,2024-12-25,2024-12-27,271.20,USD
Idaho,TownePlace Suites by Marriott Boise Downtown University,Boise,2024-12-25,2024-12-27,292.91,USD
Idaho,Fairfield Inn by Marriott Boise,Boise,2024-12-25,2024-12-27,336.74,USD
Idaho,Courtyard by Marriott Boise Downtown,Boise,2024-12-25,2024-12-27,404.54,USD
Idaho,HAMPTON INN BOISE AIRPORT,Boise,2024-12-25,2024-12-27,2169.60,USD
Illinois,CROWNE PLAZA CHICAGO OHARE,Chicago,2024-12-25,2024-12-27,243.96,USD
