State,Average Price
Maryland,229.65
Minnesota,234.0
Nebraska,236.13
California,237.33
New Hampshire,242.31
South Carolina,243.05
New Mexico,243.93
Georgia,260.07
Mississippi,262.08
Arizona,262.55
Utah,269.55
Indiana,271.37
North Carolina,272.55
Ohio,280.74
Delaware,280.83
Kentucky,280.83
Illinois,283.43
Florida,284.51
Wisconsin,287.25
South Dakota,288.03
Arkansas,292.76
Colorado,299.8
Washington,311.26
New York,312.03
Texas,313.4
Missouri,314.98
Pennsylvania,320.06
Michigan,325.08
Kansas,329.58
Oregon,330.05
New Jersey,339.33
Tennessee,345.29
Vermont,377.13
Rhode Island,480.7
Alaska,551.04
Maine,629.32
Idaho,695.0
Connecticut,706.35
West Virginia,773.93
Virginia,1064.89
Iowa,1184.7
North Dakota,2121.6
