Age Group,Men 2021,Women 2021,Total 2021,Cumulative Population,Median Group
0-4,4000,4000,8000,8000,False
5-9,4000,4000,8000,16000,False
10-14,4000,4000,8000,24000,False
15-19,6000,4000,10000,34000,False
20-24,12000,10000,22000,56000,False
25-29,9000,8000,17000,73000,False
30-34,8000,8000,16000,89000,True
35-39,6000,6000,12000,101000,False
40-44,6000,6000,12000,113000,False
45-49,5000,5000,10000,123000,False
50-54,5000,5000,10000,133000,False
55-59,5000,5000,10000,143000,False
60-64,4000,4000,8000,151000,False
65-69,3000,3000,6000,157000,False
70-74,2000,2000,4000,161000,False
75-79,2000,2000,4000,165000,False
80-84,1000,1000,2000,167000,False
85+,1000,1000,2000,169000,False
